source_player_id,raw_full_name,raw_school,school_canonical,pos_hint,name_key,reason,status,resolved_prospect_id,candidate_json
638,WR Harrison Wallace III,,,WR,harrisonwallace,ambiguous_name_key_2,open,,"[{""prospect_id"": 310, ""display_name"": ""Harrison Wallace"", ""position_group"": ""WR"", ""school_canonical"": ""Mississippi""}, {""prospect_id"": 481, ""display_name"": ""Harrison Wallace"", ""position_group"": ""WR"", ""school_canonical"": ""Ole Miss""}]"
649,DT David Gusta,,,DT,davidgusta,ambiguous_name_key_2,open,,"[{""prospect_id"": 377, ""display_name"": ""David Gusta"", ""position_group"": ""LB"", ""school_canonical"": ""Kentucky""}, {""prospect_id"": 482, ""display_name"": ""David Gusta"", ""position_group"": ""DT"", ""school_canonical"": ""Kentucky""}]"
656,DL Rayshaun Benny,,,DL,rayshaunbenny,ambiguous_name_key_2,open,,"[{""prospect_id"": 242, ""display_name"": ""Rayshaun Benny"", ""position_group"": ""LB"", ""school_canonical"": ""Michigan""}, {""prospect_id"": 485, ""display_name"": ""Rayshaun Benny"", ""position_group"": ""DT"", ""school_canonical"": ""Michigan""}]"
663,LB Keyshaun Elliott,,,LB,keyshaunelliott,ambiguous_name_key_2,open,,"[{""prospect_id"": 132, ""display_name"": ""Keyshaun Elliott"", ""position_group"": ""LB"", ""school_canonical"": ""Arizona State""}, {""prospect_id"": 732, ""display_name"": ""Keyshaun Elliott"", ""position_group"": ""LB"", ""school_canonical"": ""Arizona St.""}]"
668,DT Zxavian Harris,,,DT,zxavianharris,ambiguous_name_key_2,open,,"[{""prospect_id"": 200, ""display_name"": ""Zxavian Harris"", ""position_group"": ""LB"", ""school_canonical"": ""Mississippi""}, {""prospect_id"": 487, ""display_name"": ""Zxavian Harris"", ""position_group"": ""DT"", ""school_canonical"": ""Ole Miss""}]"
684,CB Brent Austin,,,CB,brentaustin,ambiguous_name_key_2,open,,"[{""prospect_id"": 490, ""display_name"": ""Brent Austin"", ""position_group"": ""CB"", ""school_canonical"": ""California""}, {""prospect_id"": 774, ""display_name"": ""Brent Austin"", ""position_group"": ""CB"", ""school_canonical"": ""Cal""}]"
685,QB Cole Payton,,,QB,colepayton,ambiguous_name_key_2,open,,"[{""prospect_id"": 248, ""display_name"": ""Cole Payton"", ""position_group"": ""QB"", ""school_canonical"": ""North Dakota State""}, {""prospect_id"": 719, ""display_name"": ""Cole Payton"", ""position_group"": ""QB"", ""school_canonical"": ""N. Dakota St.""}]"
697,DB Owen Heinecke,,,DB,owenheinecke,ambiguous_name_key_2,open,,"[{""prospect_id"": 220, ""display_name"": ""Owen Heinecke"", ""position_group"": ""LB"", ""school_canonical"": ""Oklahoma""}, {""prospect_id"": 493, ""display_name"": ""Owen Heinecke"", ""position_group"": ""CB"", ""school_canonical"": ""Oklahoma""}]"
702,WR De'Zhaun Stribling,,,WR,dezhaunstribling,ambiguous_name_key_2,open,,"[{""prospect_id"": 113, ""display_name"": ""De'Zhaun Stribling"", ""position_group"": ""WR"", ""school_canonical"": ""Mississippi""}, {""prospect_id"": 494, ""display_name"": ""De'Zhaun Stribling"", ""position_group"": ""WR"", ""school_canonical"": ""Ole Miss""}]"
704,DL Nick Barrett,,,DL,nickbarrett,ambiguous_name_key_2,open,,"[{""prospect_id"": 312, ""display_name"": ""Nick Barrett"", ""position_group"": ""LB"", ""school_canonical"": ""South Carolina""}, {""prospect_id"": 495, ""display_name"": ""Nick Barrett"", ""position_group"": ""DT"", ""school_canonical"": ""South Carolina""}]"
