source_player_id,raw_full_name,raw_school_or_json,reason
5728,Franklin Arias,BOS,no_match_name_key
6023,Gabriel Arias,CLE,no_match_name_key
5951,Gabriel Gonzalez,MIN,no_match_name_key
5639,Gabriel Moreno,AZ,no_match_name_key
8755,Garmon Randolph,Baylor,no_match_name_key
9002,Garrett DellingerLSU,,no_match_name_key
7085,Garrett Greene,,no_match_name_key
8720,Garrett Greene,West Virginia,no_match_name_key
5584,Garrett Mitchell,MIL,no_match_name_key
5732,Garrett Whitlock,BOS,no_match_name_key
5901,Gary Gill Hill,TB,no_match_name_key
4891,Gavin Bartholomew,,no_match_name_key
7121,Gavin Bartholomew,,no_match_name_key
5984,Gavin Cross,KC,no_match_name_key
8772,Gavin Holmes,Texas,no_match_name_key
5715,Gavin Lux,CIN,no_match_name_key
5969,Gavin Sheets,SD,no_match_name_key
5710,Gavin Stone,LAD,no_match_name_key
7191,Gee Scott Jr.,,no_match_name_key
5826,George Klassen,LAA,no_match_name_key
5753,George Lombard Jr.,NYY,no_match_name_key
7115,Gerald Mincey,,no_match_name_key
5838,Geraldo Perdomo,AZ,no_match_name_key
6006,German Marquez,COL,no_match_name_key
5561,Gerrit Cole,NYY,no_match_name_key
7162,Gerry Bohanon,,no_match_name_key
5844,Giancarlo Stanton,NYY,no_match_name_key
7062,Giles Jackson,,no_match_name_key
7024,Gino Garcia,,no_match_name_key
8660,Glendon Miller,Maryland,no_match_name_key
10687,Gracen Halton,,ambiguous_name_key_2
7082,Graham Mertz,,no_match_name_key
5870,Grant Taylor,CWS,no_match_name_key
7202,Grayson McCall,,no_match_name_key
5910,Griffin Burkholder,PHI,no_match_name_key
5805,Griffin Canning,NYM,no_match_name_key
8863,Gunnar HelmTexas,,no_match_name_key
5070,Gus Hartwig,Purdue,no_match_name_key
5559,Hagen Smith,CWS,no_match_name_key
5862,DL Hall,MIL,no_match_name_key
7131,Hank Bachmeier,,no_match_name_key
6004,Harrison Bader,MIN,no_match_name_key
5680,Harry Ford,SEA,no_match_name_key
5637,Ha-Seong Kim,TB,no_match_name_key
5578,Hayden Birdsong,SF,no_match_name_key
9049,Hayden ConnerTexas,,no_match_name_key
5836,Henry Davis,PIT,no_match_name_key
6025,Henry Lalane,NYY,no_match_name_key
7003,Henry Parrish Jr.,,no_match_name_key
5585,Heston Kjerstad,BAL,no_match_name_key
4840,Howard Cross,,ambiguous_name_key_2
5395,Howard Cross,,ambiguous_name_key_2
6941,Howard Cross III,,ambiguous_name_key_2
8953,Howard Cross,,ambiguous_name_key_2
7100,Hudson Card,,no_match_name_key
5869,Hunter Gaddis,CLE,no_match_name_key
5809,Hunter Goodman,COL,no_match_name_key
6000,Hunter Harvey,KC,no_match_name_key
9291,Hunter Long,JAX,no_match_name_key
10518,Hunter Renfrow,CAR,no_match_name_key
4868,Hunter Wohler,,no_match_name_key
6981,Hunter Wohler,,no_match_name_key
5691,Hurston Waldrep,ATL,no_match_name_key
5718,Hyeseong Kim,LAD,no_match_name_key
6033,Hyun-Seok Jang,LAD,no_match_name_key
8769,Ian Kennelly,Grand Valley State,no_match_name_key
8993,Isaac TeSlaaArkansas,,no_match_name_key
8852,Isaiah BondTexas,,no_match_name_key
4999,Isaiah Neyor,Nebraska,no_match_name_key
7114,Isheem Young,,no_match_name_key
5941,Isiah Kiner-Falefa,PIT,no_match_name_key
5587,Iván Herrera,STL,no_match_name_key
9061,Jabbar MuhammadOregon,,no_match_name_key
5538,Jac Caglianone,KC,no_match_name_key
5652,Jace Jung,DET,no_match_name_key
8731,Jack Conley,Boston College,no_match_name_key
7160,Jack Howell,,no_match_name_key
8970,Jack KiserNotre,,no_match_name_key
5972,Jack Kochanowicz,LAA,no_match_name_key
8879,Jack SawyerOhio,,no_match_name_key
6652,Jackson Arnold,Oklahoma,no_match_name_key
5759,Jackson Baumeister,TB,no_match_name_key
5677,Jackson Ferris,LAD,no_match_name_key
8920,Jackson HawesGeorgia,,no_match_name_key
8716,Jackson Meeks,Syracuse,no_match_name_key
4960,Jackson Woodard,,ambiguous_name_key_2
7053,Jackson Woodard,,ambiguous_name_key_2
8973,Jacob BayerArkansas,,no_match_name_key
7179,Jacob Dobbs,,no_match_name_key
7070,Jacobe Covington,,no_match_name_key
5845,Jacob Melton,HOU,no_match_name_key
5600,Jacob Misiorowski,MIL,no_match_name_key
4768,Jacob Parrish,,no_match_name_key
6841,Jacob Parrish,,no_match_name_key
5824,Jacob Young,WSH,no_match_name_key
4933,Jacolby George,,ambiguous_name_key_2
5488,Jacolby George,,ambiguous_name_key_2
7128,Jacolby George,,ambiguous_name_key_2
9046,Jacolby GeorgeMiami,,no_match_name_key
6658,Jaden Greathouse,Notre Dame,no_match_name_key
5926,Jaden Hamm,DET,no_match_name_key
6669,Jaden Rashada,Arizona State,no_match_name_key
7147,Ja'Had Carter,,no_match_name_key
8789,Jahdae BarronTexas,,no_match_name_key
7214,Jahfari Harvey,,no_match_name_key
4829,Jah Joyner,,ambiguous_name_key_2
6879,Jah Joyner,,ambiguous_name_key_2
6704,Jahlil Hurley,Alabama,no_match_name_key
4918,Jahvaree Ritzie,,no_match_name_key
5053,Jahvaree Ritzie,North Carolina,no_match_name_key
6994,Jahvaree Ritzie,,no_match_name_key
